subID	runID	runType	trial	RT	ACC	ButtonPress	CorrectButtonPress	Feedback	switch_trial	task	congruency	left_item	task_ifletter	task_ifdigit	target_left	target_right	moneyreward	moneysymbol
2	8	baseline	1	918.713	1	3	3	none	repeat	letter	incongruent	letter_first	vowel	odd	I	5	1	$
2	8	baseline	2	831.978	1	4	4	none	switch	digit	congruent	digit_first	consonant	odd	3	Z	2	$$
2	8	baseline	3	951.854	1	4	4	none	switch	letter	incongruent	letter_first	consonant	even	Z	6	2	$$
2	8	baseline	4	1400.986	1	3	3	none	repeat	letter	congruent	digit_first	vowel	even	2	A	2	$$
2	8	baseline	5	1123.756	0	4	3	none	switch	digit	incongruent	digit_first	consonant	even	4	Z	1	$
2	8	baseline	6	1276.304	1	4	4	none	repeat	digit	incongruent	letter_first	vowel	odd	U	3	2	$$
2	8	baseline	7	674.304	1	4	4	none	repeat	digit	congruent	digit_first	consonant	odd	9	P	2	$$
2	8	baseline	8	1349.088	1	3	3	none	repeat	digit	congruent	letter_first	vowel	even	U	2	1	$
2	8	baseline	9	1354.265	1	4	4	none	switch	letter	incongruent	digit_first	consonant	even	6	P	4	$$$$
2	8	baseline	10	636.892	1	4	4	none	switch	digit	incongruent	letter_first	vowel	odd	I	5	4	$$$$
2	8	baseline	11	746.943	1	4	4	none	switch	letter	congruent	letter_first	consonant	odd	X	7	4	$$$$
2	8	baseline	12	644.651	1	4	4	none	switch	digit	congruent	letter_first	consonant	odd	Z	9	4	$$$$
2	8	baseline	13	833.928	1	3	3	none	repeat	digit	congruent	digit_first	vowel	even	2	U	1	$
2	8	baseline	14	683.707	1	4	4	none	switch	letter	congruent	digit_first	consonant	odd	9	X	4	$$$$
2	8	baseline	15	1006.461	0	4	3	none	switch	digit	congruent	letter_first	vowel	even	A	6	2	$$
2	8	baseline	16	1468.64	1	4	4	none	switch	letter	congruent	digit_first	consonant	odd	3	L	2	$$
