subID,runID,liquid,critRT,likert_avg,rank,order,subset,intensity_avg
2,9,juice,734.7,5,1,1,yes ,6
2,10,juice,734.7,5,1,1,yes,6
2,11,saltwater,734.7,3,2,2,yes,3
2,12,saltwater,734.7,3,2,2,yes,3
2,13,neutral,734.7,2,3,3,yes,3
2,14,neutral,734.7,2,3,3,yes,3
3,9,neutral,745.5,4,2,1,yes ,2
3,10,neutral,745.5,4,2,1,yes,2
3,11,juice,745.5,6,1,2,yes,7
3,12,juice,745.5,6,1,2,yes,7
3,13,saltwater,745.5,2,3,3,yes,3
3,14,saltwater,745.5,2,3,3,yes,3
4,9,neutral,871,4,2,1,yes ,7
4,10,neutral,871,4,2,1,yes,7
4,11,saltwater,871,1,3,2,yes,2
4,12,saltwater,871,1,3,2,yes,2
4,13,juice,871,7,1,3,yes,6
4,14,juice,871,7,1,3,yes,6
6,9,saltwater,861.3,2,2,1,yes ,2
6,10,saltwater,861.3,2,2,1,yes,2
6,11,neutral,861.3,2,2,2,yes,3
6,12,neutral,861.3,2,2,2,yes,3
6,13,juice,861.3,6,1,3,yes,7
6,14,juice,861.3,6,1,3,yes,7
7,9,juice,716.4,6,1,1,yes,6
7,10,juice,716.4,6,1,1,yes,6
7,11,neutral,716.4,5,2,2,yes,1
7,12,neutral,716.4,5,2,2,yes,1
7,13,saltwater,716.4,2,3,3,yes,4
7,14,saltwater,716.4,2,3,3,yes,4
8,9,juice,751.3,5,1,1,yes ,4
8,10,juice,751.3,5,1,1,yes,4
8,11,saltwater,751.3,3,3,2,yes,5
8,12,saltwater,751.3,3,3,2,yes,5
8,13,neutral,751.3,4,2,3,yes,1
8,14,neutral,751.3,4,2,3,yes,1
9,9,neutral,817.5,3,2,1,no,3
9,10,neutral,817.5,3,2,1,no,3
9,11,juice,817.5,1,3,2,no,6
9,12,juice,817.5,1,3,2,no,6
9,13,saltwater,817.5,5,1,3,no,2
9,14,saltwater,817.5,5,1,3,no,2
10,9,neutral,811.8,5,2,1,yes ,5
10,10,neutral,811.8,5,2,1,yes,5
10,11,saltwater,811.8,3,3,2,yes,3
10,12,saltwater,811.8,3,3,2,yes,3
10,13,juice,811.8,6,1,3,yes,4
10,14,juice,811.8,6,1,3,yes,4
11,9,saltwater,781.7,4,2,1,no,4
11,10,saltwater,781.7,4,2,1,no,4
11,11,juice,781.7,6,1,2,no,5
11,12,juice,781.7,6,1,2,no,5
11,13,neutral,781.7,3,3,3,no,4
11,14,neutral,781.7,3,3,3,no,4
12,9,saltwater,741.2,2,3,1,no,3
12,10,saltwater,741.2,2,3,1,no,3
12,11,neutral,741.2,4,1,2,no,2
12,12,neutral,741.2,4,1,2,no,2
12,13,juice,741.2,3,2,3,no,5
12,14,juice,741.2,3,2,3,no,5
13,9,juice,567,5,1,1,yes ,5
13,10,juice,567,5,1,1,yes,5
13,11,neutral,567,3,2,2,yes,3
13,12,neutral,567,3,2,2,yes,3
13,13,saltwater,567,2,3,3,yes,6
13,14,saltwater,567,2,3,3,yes,6
14,9,juice,574.3,7,1,1,maybe,5
14,10,juice,574.3,7,1,1,maybe,5
14,11,saltwater,574.3,2,3,2,maybe,3
14,12,saltwater,574.3,2,3,2,maybe,3
14,13,neutral,574.3,7,1,3,maybe,1
14,14,neutral,574.3,7,1,3,maybe,1
15,9,neutral,803.6,5,2,1,yes ,2
15,10,neutral,803.6,5,2,1,yes,2
15,11,juice,803.6,7,1,2,yes,7
15,12,juice,803.6,7,1,2,yes,7
15,13,saltwater,803.6,2,3,3,yes,6
15,14,saltwater,803.6,2,3,3,yes,6
16,9,neutral,868.7,3,2,1,yes ,3
16,10,neutral,868.7,3,2,1,yes,3
16,11,saltwater,868.7,2,3,2,yes,6
16,12,saltwater,868.7,2,3,2,yes,6
16,13,juice,868.7,6,1,3,yes,6
16,14,juice,868.7,6,1,3,yes,6
17,9,saltwater,474.8,4,2,1,no,3
17,10,saltwater,474.8,4,2,1,no,3
17,11,juice,474.8,6,1,2,no,5
17,12,juice,474.8,6,1,2,no,5
17,13,neutral,474.8,3,3,3,no,1
17,14,neutral,474.8,3,3,3,no,1
18,9,saltwater,511.4,4,2,1,no,6
18,10,saltwater,511.4,4,2,1,no,6
18,11,neutral,511.4,1,3,2,no,5
18,12,neutral,511.4,1,3,2,no,5
18,13,juice,511.4,5,1,3,no,6
18,14,juice,511.4,5,1,3,no,6
19,9,juice,1191.7,6,1,1,yes ,6
19,10,juice,1191.7,6,1,1,yes,6
19,11,neutral,1191.7,4,2,2,yes,2
19,12,neutral,1191.7,4,2,2,yes,2
19,13,saltwater,1191.7,3,3,3,yes,4
19,14,saltwater,1191.7,3,3,3,yes,4
20,9,juice,644.7,6,1,1,yes ,5
20,10,juice,644.7,6,1,1,yes,5
20,11,saltwater,644.7,3,3,2,yes,5
20,12,saltwater,644.7,3,3,2,yes,5
20,13,neutral,644.7,4,2,3,yes,2
20,14,neutral,644.7,4,2,3,yes,2
21,9,neutral,799.7,4,2,1,yes ,4
21,10,neutral,799.7,4,2,1,yes,4
21,11,juice,799.7,7,1,2,yes,7
21,12,juice,799.7,7,1,2,yes,7
21,13,saltwater,799.7,2,3,3,yes,6
21,14,saltwater,799.7,2,3,3,yes,6
22,9,neutral,987,,,,,
22,10,neutral,987,,,,,
22,11,saltwater,987,,,,,
22,12,saltwater,987,,,,,
22,13,juice,987,,,,,
22,14,juice,987,,,,,
23,9,saltwater,672.2,5,2,1,no,5
23,10,saltwater,672.2,5,2,1,no,5
23,11,juice,672.2,7,1,2,no,7
23,12,juice,672.2,7,1,2,no,7
23,13,neutral,672.2,2,3,3,no,2
23,14,neutral,672.2,2,3,3,no,2
24,9,saltwater,745.1,2,3,1,yes ,7
24,10,saltwater,745.1,2,3,1,yes,7
24,11,neutral,745.1,5,2,2,yes,4
24,12,neutral,745.1,5,2,2,yes,4
24,13,juice,745.1,7,1,3,yes,7
24,14,juice,745.1,7,1,3,yes,7
25,9,juice,721,6,1,1,yes ,6
25,10,juice,721,6,1,1,yes,6
25,11,neutral,721,4,2,2,yes,4
25,12,neutral,721,4,2,2,yes,4
25,13,saltwater,721,1,3,3,yes,6
25,14,saltwater,721,1,3,3,yes,6
26,9,juice,800.7,6,1,1,maybe,5
