subID,runID,liquid
2,8,none
2,9,juice
2,10,juice
2,11,saltwater
2,12,saltwater
2,13,neutral
2,14,neutral
3,8,none
3,9,neutral
3,10,neutral
3,11,juice
3,12,juice
3,13,saltwater
3,14,saltwater
4,8,none
4,9,neutral
4,10,neutral
4,11,saltwater
4,12,saltwater
4,13,juice
4,14,juice
6,8,none
6,9,saltwater
6,10,saltwater
6,11,neutral
6,12,neutral
6,13,juice
6,14,juice
7,8,none
7,9,juice
7,10,juice
7,11,neutral
7,12,neutral
7,13,saltwater
7,14,saltwater
8,8,none
8,9,juice
8,10,juice
8,11,saltwater
8,12,saltwater
8,13,neutral
8,14,neutral
9,8,none
9,9,neutral
9,10,neutral
9,11,juice
9,12,juice
9,13,saltwater
9,14,saltwater
10,8,none
10,9,neutral
10,10,neutral
10,11,saltwater
10,12,saltwater
10,13,juice
10,14,juice
11,8,none
11,9,saltwater
11,10,saltwater
11,11,juice
11,12,juice
11,13,neutral
11,14,neutral
12,8,none
12,9,saltwater
12,10,saltwater
12,11,neutral
12,12,neutral
12,13,juice
12,14,juice
13,8,none
13,9,juice
13,10,juice
13,11,neutral
13,12,neutral
13,13,saltwater
13,14,saltwater
14,8,none
14,9,juice
14,10,juice
14,11,saltwater
14,12,saltwater
14,13,neutral
14,14,neutral
15,8,none
15,9,neutral
15,10,neutral
15,11,juice
15,12,juice
15,13,saltwater
15,14,saltwater
16,8,none
16,9,neutral
16,10,neutral
16,11,saltwater
16,12,saltwater
16,13,juice
16,14,juice
17,8,none
17,9,saltwater
17,10,saltwater
17,11,juice
17,12,juice
17,13,neutral
17,14,neutral
18,7,none
18,8,none
18,9,saltwater
18,10,saltwater
18,11,neutral
18,12,neutral
18,13,juice
18,14,juice
19,7,none
19,8,none
19,9,juice
19,10,juice
19,11,neutral
19,12,neutral
19,13,saltwater
19,14,saltwater
20,7,none
20,8,none
20,9,juice
20,10,juice
20,11,saltwater
20,12,saltwater
20,13,neutral
20,14,neutral
21,7,none
21,8,none
21,9,neutral
21,10,neutral
21,11,juice
21,12,juice
21,13,saltwater
21,14,saltwater
22,7,none
22,8,none
22,9,neutral
22,10,neutral
22,11,saltwater
22,12,saltwater
22,13,juice
22,14,juice
23,7,none
23,8,none
23,9,saltwater
23,10,saltwater
23,11,juice
23,12,juice
23,13,neutral
23,14,neutral
24,7,none
24,8,none
24,9,saltwater
24,10,saltwater
24,11,neutral
24,12,neutral
24,13,juice
24,14,juice
25,7,none
25,8,none
25,9,juice
25,10,juice
25,11,neutral
25,12,neutral
25,13,saltwater
25,14,saltwater
26,7,none
26,8,none
26,9,juice
26,10,juice
26,11,saltwater
26,12,saltwater
26,13,neutral
26,14,neutral
27,7,none
27,8,none
27,9,neutral
27,10,neutral
27,11,juice
27,12,juice
27,13,saltwater
27,14,saltwater
28,7,none
28,8,none
28,9,neutral
28,10,neutral
28,11,saltwater
28,12,saltwater
28,13,juice
28,14,juice
29,7,none
29,8,none
29,9,saltwater
29,10,saltwater
29,11,juice
29,12,juice
29,13,neutral
29,14,neutral
30,7,none
30,8,none
30,9,saltwater
30,10,saltwater
30,11,neutral
30,12,neutral
30,13,juice
30,14,juice
31,7,none
31,8,none
31,9,juice
31,10,juice
31,11,neutral
31,12,neutral
31,13,saltwater
31,14,saltwater
32,7,none
32,8,none
32,9,juice
32,10,juice
32,11,saltwater
32,12,saltwater
32,13,neutral
32,14,neutral
33,7,none
33,8,none
33,9,neutral
33,10,neutral
33,11,saltwater
33,12,saltwater
33,13,juice
33,14,juice
34,7,none
34,8,none
34,9,neutral
34,10,neutral
34,11,juice
34,12,juice
34,13,saltwater
34,14,saltwater
35,7,none
35,8,none
35,9,saltwater
35,10,saltwater
35,11,juice
35,12,juice
35,13,neutral
35,14,neutral
36,7,none
36,8,none
36,9,saltwater
36,10,saltwater
36,11,neutral
36,12,neutral
36,13,juice
36,14,juice
37,7,none
37,8,none
37,9,juice
37,10,juice
37,11,neutral
37,12,neutral
37,13,saltwater
37,14,saltwater
38,7,none
38,8,none
38,9,juice
38,10,juice
38,11,saltwater
38,12,saltwater
38,13,neutral
38,14,neutral
39,7,none
39,8,none
39,9,neutral
39,10,neutral
39,11,juice
39,12,juice
39,13,saltwater
39,14,saltwater
40,7,none
40,8,none
40,9,neutral
40,10,neutral
40,11,saltwater
40,12,saltwater
40,13,juice
40,14,juice
41,7,none
41,8,none
41,9,saltwater
41,10,saltwater
41,11,juice
41,12,juice
41,13,neutral
41,14,neutral
42,7,none
42,8,none
42,9,saltwater
42,10,saltwater
42,11,neutral
42,12,neutral
42,13,juice
42,14,juice
43,7,none
43,8,none
43,9,juice
43,10,juice
43,11,neutral
43,12,neutral
43,13,saltwater
43,14,saltwater
44,7,none
44,8,none
44,9,juice
44,10,juice
44,11,saltwater
44,12,saltwater
44,13,neutral
44,14,neutral
45,7,none
45,8,none
45,9,neutral
45,10,neutral
45,11,juice
45,12,juice
45,13,saltwater
45,14,saltwater
46,7,none
46,8,none
46,9,neutral
46,10,neutral
46,11,saltwater
46,12,saltwater
46,13,juice
46,14,juice
47,7,none
47,8,none
47,9,saltwater
47,10,saltwater
